,StartBin,EndBin
"('chr17',)",76.0,90.0
"('chr17',)",91.0,93.0
"('chr17',)",94.0,118.0
"('chr17',)",119.0,132.0
"('chr17',)",133.0,136.0
"('chr18',)",0.0,0.0
"('chr18',)",1.0,15.0
"('chr18',)",16.0,22.0
"('chr18',)",23.0,23.0
"('chr18',)",24.0,26.0
"('chr18',)",27.0,33.0
"('chr18',)",34.0,93.0
"('chr18',)",94.0,94.0
"('chr18',)",95.0,114.0
"('chr18',)",115.0,131.0
"('chr18',)",132.0,145.0
"('chr19',)",0.0,6.0
"('chr19',)",7.0,31.0
"('chr19',)",32.0,38.0
"('chr19',)",39.0,40.0
"('chr19',)",41.0,43.0
"('chr19',)",44.0,53.0
"('chr19',)",54.0,67.0
"('chr19',)",68.0,84.0
"('chr19',)",85.0,87.0
"('chr19',)",88.0,93.0
"('chr19',)",94.0,99.0
"('chr20',)",0.0,11.0
"('chr20',)",12.0,46.0
"('chr20',)",47.0,47.0
"('chr20',)",48.0,49.0
"('chr20',)",50.0,62.0
"('chr20',)",63.0,74.0
"('chr20',)",75.0,87.0
"('chr20',)",88.0,89.0
"('chr20',)",90.0,110.0
"('chr20',)",111.0,111.0
"('chr20',)",112.0,116.0
"('chr21',)",0.0,21.0
"('chr21',)",22.0,34.0
"('chr21',)",35.0,35.0
"('chr21',)",36.0,38.0
"('chr21',)",39.0,42.0
"('chr21',)",43.0,44.0
"('chr21',)",45.0,52.0
"('chr21',)",53.0,55.0
"('chr21',)",56.0,61.0
"('chr21',)",62.0,62.0
"('chr21',)",63.0,63.0
"('chr22',)",0.0,8.0
"('chr22',)",9.0,9.0
"('chr22',)",10.0,13.0
"('chr22',)",14.0,23.0
"('chr22',)",24.0,32.0
"('chr22',)",33.0,33.0
"('chr22',)",34.0,37.0
"('chr22',)",38.0,39.0
"('chr22',)",40.0,51.0
"('chr22',)",52.0,57.0
"('chr22',)",58.0,59.0
