,StartBin,EndBin
"('chr9',)",104.0,114.0
"('chr9',)",115.0,138.0
"('chr9',)",139.0,189.0
"('chr9',)",190.0,193.0
"('chr9',)",194.0,209.0
"('chr10',)",0.0,2.0
"('chr10',)",3.0,25.0
"('chr10',)",26.0,37.0
"('chr10',)",38.0,44.0
"('chr10',)",45.0,70.0
"('chr10',)",71.0,90.0
"('chr10',)",91.0,105.0
"('chr10',)",106.0,141.0
"('chr10',)",142.0,203.0
"('chr10',)",204.0,210.0
"('chr10',)",211.0,241.0
"('chr11',)",0.0,4.0
"('chr11',)",5.0,10.0
"('chr11',)",11.0,32.0
"('chr11',)",33.0,80.0
"('chr11',)",81.0,92.0
"('chr11',)",93.0,93.0
"('chr11',)",94.0,103.0
"('chr11',)",104.0,124.0
"('chr11',)",125.0,193.0
"('chr11',)",194.0,206.0
"('chr11',)",207.0,247.0
"('chr12',)",0.0,39.0
"('chr12',)",40.0,45.0
"('chr12',)",46.0,59.0
"('chr12',)",60.0,62.0
"('chr12',)",63.0,85.0
"('chr12',)",86.0,182.0
"('chr12',)",183.0,195.0
"('chr12',)",196.0,223.0
"('chr12',)",224.0,233.0
"('chr12',)",234.0,245.0
"('chr12',)",246.0,249.0
"('chr13',)",0.0,0.0
"('chr13',)",1.0,11.0
"('chr13',)",12.0,47.0
"('chr13',)",48.0,53.0
"('chr13',)",54.0,118.0
"('chr13',)",119.0,144.0
"('chr13',)",145.0,154.0
"('chr13',)",155.0,168.0
"('chr13',)",169.0,181.0
"('chr13',)",182.0,185.0
"('chr13',)",186.0,187.0
"('chr14',)",0.0,3.0
"('chr14',)",4.0,4.0
"('chr14',)",5.0,8.0
"('chr14',)",9.0,56.0
"('chr14',)",57.0,104.0
"('chr14',)",105.0,115.0
"('chr14',)",116.0,143.0
"('chr14',)",144.0,158.0
"('chr14',)",159.0,163.0
"('chr14',)",164.0,168.0
"('chr14',)",169.0,172.0
"('chr15',)",0.0,6.0
"('chr15',)",7.0,10.0
"('chr15',)",11.0,24.0
"('chr15',)",25.0,33.0
"('chr15',)",34.0,62.0
"('chr15',)",63.0,68.0
"('chr15',)",69.0,87.0
"('chr15',)",88.0,99.0
"('chr15',)",100.0,109.0
"('chr15',)",110.0,132.0
"('chr15',)",133.0,140.0
"('chr16',)",0.0,4.0
"('chr16',)",5.0,9.0
"('chr16',)",10.0,28.0
"('chr16',)",29.0,45.0
"('chr16',)",46.0,50.0
"('chr16',)",51.0,65.0
"('chr16',)",66.0,90.0
"('chr16',)",91.0,100.0
"('chr16',)",101.0,123.0
"('chr16',)",124.0,130.0
"('chr16',)",131.0,134.0
"('chr17',)",0.0,9.0
"('chr17',)",10.0,31.0
"('chr17',)",32.0,43.0
"('chr17',)",44.0,52.0
"('chr17',)",53.0,75.0
"('chr17',)",76.0,89.0
"('chr17',)",90.0,100.0
"('chr17',)",101.0,106.0
"('chr17',)",107.0,107.0
"('chr17',)",108.0,116.0
"('chr17',)",117.0,136.0
"('chr18',)",0.0,17.0
"('chr18',)",18.0,22.0
"('chr18',)",23.0,23.0
"('chr18',)",24.0,32.0
"('chr18',)",33.0,33.0
"('chr18',)",34.0,41.0
"('chr18',)",42.0,45.0
"('chr18',)",46.0,67.0
"('chr18',)",68.0,80.0
"('chr18',)",81.0,102.0
"('chr18',)",103.0,119.0
"('chr19',)",0.0,5.0
"('chr19',)",6.0,19.0
"('chr19',)",20.0,27.0
"('chr19',)",28.0,37.0
"('chr19',)",38.0,39.0
"('chr19',)",40.0,43.0
"('chr19',)",44.0,52.0
"('chr19',)",53.0,86.0
"('chr19',)",87.0,92.0
"('chr19',)",93.0,96.0
"('chr19',)",97.0,98.0
"('chr20',)",0.0,3.0
"('chr20',)",4.0,11.0
"('chr20',)",12.0,23.0
"('chr20',)",24.0,42.0
"('chr20',)",43.0,46.0
"('chr20',)",47.0,47.0
"('chr20',)",48.0,62.0
"('chr20',)",63.0,70.0
"('chr20',)",71.0,74.0
"('chr20',)",75.0,111.0
"('chr20',)",112.0,116.0
"('chr21',)",0.0,2.0
"('chr21',)",3.0,8.0
"('chr21',)",9.0,14.0
"('chr21',)",15.0,15.0
"('chr21',)",16.0,20.0
"('chr21',)",21.0,26.0
"('chr21',)",27.0,34.0
"('chr21',)",35.0,37.0
"('chr21',)",38.0,42.0
"('chr21',)",43.0,55.0
"('chr21',)",56.0,63.0
"('chr22',)",0.0,1.0
"('chr22',)",2.0,5.0
"('chr22',)",6.0,6.0
"('chr22',)",7.0,10.0
"('chr22',)",11.0,14.0
"('chr22',)",15.0,24.0
"('chr22',)",25.0,33.0
"('chr22',)",34.0,38.0
"('chr22',)",39.0,43.0
"('chr22',)",44.0,58.0
"('chr22',)",59.0,60.0
